NACA 0015
 1.0000000     0.0015750
 0.9928006     0.0028321
 0.9798895     0.0050588
 0.9635184     0.0078325
 0.9445469     0.0109792
 0.9234998     0.0143883
 0.9007495     0.0179798
 0.8765830     0.0216920
 0.8512328     0.0254758
 0.8248944     0.0292906
 0.7977362     0.0331020
 0.7699063     0.0368803
 0.7415373     0.0405991
 0.7127487     0.0442344
 0.6836500     0.0477637
 0.6543419     0.0511656
 0.6249182     0.0544197
 0.5954661     0.0575056
 0.5660677     0.0604034
 0.5368005     0.0630936
 0.5077378     0.0655568
 0.4789491     0.0677740
 0.4505011     0.0697271
 0.4224571     0.0713983
 0.3948782     0.0727711
 0.3678229     0.0738302
 0.3413476     0.0745617
 0.3155065     0.0749537
 0.2903524     0.0749959
 0.2659361     0.0746804
 0.2423068     0.0740016
 0.2195125     0.0729561
 0.1975998     0.0715435
 0.1766138     0.0697653
 0.1565988     0.0676259
 0.1375977     0.0651320
 0.1196525     0.0622923
 0.1028043     0.0591177
 0.0870931     0.0556208
 0.0725582     0.0518154
 0.0592379     0.0477166
 0.0471700     0.0433397
 0.0363913     0.0387006
 0.0269381     0.0338144
 0.0188458     0.0286957
 0.0121494     0.0233576
 0.0068832     0.0178114
 0.0030809     0.0120661
 0.0007756     0.0061279
 0.0000000     0.0000000
 0.0007756    -0.0061279
 0.0030809    -0.0120661
 0.0068832    -0.0178114
 0.0121494    -0.0233576
 0.0188458    -0.0286957
 0.0269381    -0.0338144
 0.0363913    -0.0387006
 0.0471700    -0.0433397
 0.0592379    -0.0477166
 0.0725582    -0.0518154
 0.0870931    -0.0556208
 0.1028043    -0.0591177
 0.1196525    -0.0622923
 0.1375977    -0.0651320
 0.1565988    -0.0676259
 0.1766138    -0.0697653
 0.1975998    -0.0715435
 0.2195125    -0.0729561
 0.2423068    -0.0740016
 0.2659361    -0.0746804
 0.2903524    -0.0749959
 0.3155065    -0.0749537
 0.3413476    -0.0745617
 0.3678229    -0.0738302
 0.3948782    -0.0727711
 0.4224571    -0.0713983
 0.4505011    -0.0697271
 0.4789491    -0.0677740
 0.5077378    -0.0655568
 0.5368005    -0.0630936
 0.5660677    -0.0604034
 0.5954661    -0.0575056
 0.6249182    -0.0544197
 0.6543419    -0.0511656
 0.6836500    -0.0477637
 0.7127487    -0.0442344
 0.7415373    -0.0405991
 0.7699063    -0.0368803
 0.7977362    -0.0331020
 0.8248944    -0.0292906
 0.8512328    -0.0254758
 0.8765830    -0.0216920
 0.9007495    -0.0179798
 0.9234998    -0.0143883
 0.9445469    -0.0109792
 0.9635184    -0.0078325
 0.9798895    -0.0050588
 0.9928006    -0.0028321
 1.0000000    -0.0015750
