xflr5 v6.57
NACA 0015
T1_Re0.153_M0.04_N9.0
Alpha =  15.0,  Re =   152873,  Ma = 0.0351,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.513    -0.149     0.698     1.072
 0.9928    0.318    -0.151     0.826     1.073
 0.9799    0.227    -0.154     0.879     1.074
 0.9635    0.149    -0.157     0.922     1.076
 0.9445    0.083    -0.161     0.958     1.078
 0.9235    0.022    -0.166     0.989     1.080
 0.9007   -0.034    -0.171     1.017     1.082
 0.8766   -0.089    -0.176     1.043     1.085
 0.8512   -0.142    -0.182     1.068     1.087
 0.8249   -0.194    -0.189     1.092     1.090
 0.7977   -0.245    -0.196     1.116     1.093
 0.7699   -0.297    -0.203     1.139     1.097
 0.7415   -0.350    -0.211     1.162     1.100
 0.7127   -0.404    -0.219     1.185     1.104
 0.6836   -0.459    -0.227     1.208     1.108
 0.6543   -0.516    -0.236     1.231     1.112
 0.6249   -0.575    -0.245     1.255     1.116
 0.5955   -0.637    -0.254     1.279     1.120
 0.5661   -0.701    -0.262     1.304     1.123
 0.5368   -0.769    -0.276     1.330     1.130
 0.5077   -0.841    -0.302     1.356     1.141
 0.4789   -0.916    -0.337     1.384     1.156
 0.4505   -0.996    -0.382     1.412     1.176
 0.4225   -1.080    -0.437     1.442     1.199
 0.3949   -1.170    -0.501     1.473     1.225
 0.3678   -1.265    -0.574     1.505     1.254
 0.3413   -1.367    -0.655     1.538     1.286
 0.3155   -1.476    -0.744     1.573     1.320
 0.2904   -1.592    -0.839     1.609     1.356
 0.2659   -1.717    -0.940     1.648     1.392
 0.2423   -1.852    -1.047     1.688     1.430
 0.2195   -1.999    -1.160     1.731     1.469
 0.1976   -2.159    -1.279     1.776     1.509
 0.1766   -2.334    -1.406     1.825     1.551
 0.1566   -2.528    -1.543     1.877     1.594
 0.1376   -2.744    -1.696     1.934     1.641
 0.1197   -2.987    -1.879     1.996     1.696
 0.1028   -3.264    -2.129     2.064     1.768
 0.0871   -3.582    -2.520     2.139     1.875
 0.0726   -3.951    -3.127     2.224     2.030
 0.0592   -4.386    -3.739     2.319     2.175
 0.0472   -4.902    -3.771     2.427     2.183
 0.0364   -5.519    -3.805     2.551     2.191
 0.0269   -6.255    -3.858     2.691     2.202
 0.0188   -7.119    -3.972     2.846     2.228
 0.0121   -8.076    -4.233     3.009     2.286
 0.0069   -8.990    -4.665     3.156     2.378
 0.0031   -9.516    -4.866     3.238     2.420
 0.0008   -9.113    -4.439     3.175     2.330
 0.0000   -7.526    -3.346     2.916     2.083
 0.0008   -5.356    -1.980     2.519     1.726
 0.0031   -3.136    -0.726     2.032     1.314
 0.0069   -1.412     0.155     1.552     0.919
 0.0121   -0.293     0.657     1.137     0.586
 0.0188    0.363     0.901     0.798     0.316
 0.0269    0.723     0.990     0.527     0.103
 0.0364    0.905     0.996     0.309    -0.068
 0.0472    0.982     0.958     0.134    -0.206
 0.0592    1.000     0.899    -0.010    -0.318
 0.0726    0.984     0.831    -0.129    -0.411
 0.0871    0.948     0.762    -0.228    -0.488
 0.1028    0.903     0.693    -0.313    -0.554
 0.1197    0.852     0.628    -0.385    -0.610
 0.1376    0.801     0.567    -0.446    -0.659
 0.1566    0.750     0.510    -0.500    -0.700
 0.1766    0.701     0.457    -0.547    -0.737
 0.1976    0.655     0.410    -0.587    -0.769
 0.2195    0.612     0.366    -0.623    -0.796
 0.2423    0.572     0.326    -0.654    -0.821
 0.2659    0.535     0.290    -0.682    -0.842
 0.2904    0.501     0.258    -0.706    -0.861
 0.3155    0.471     0.229    -0.728    -0.878
 0.3413    0.443     0.202    -0.747    -0.893
 0.3678    0.417     0.178    -0.764    -0.907
 0.3949    0.394     0.156    -0.778    -0.919
 0.4225    0.374     0.137    -0.792    -0.929
 0.4505    0.355     0.119    -0.803    -0.939
 0.4789    0.338     0.102    -0.814    -0.948
 0.5077    0.323     0.087    -0.823    -0.956
 0.5368    0.309     0.073    -0.831    -0.963
 0.5661    0.297     0.059    -0.838    -0.970
 0.5955    0.286     0.047    -0.845    -0.976
 0.6249    0.277     0.035    -0.851    -0.983
 0.6543    0.268     0.023    -0.856    -0.988
 0.6836    0.261     0.012    -0.860    -0.994
 0.7127    0.255     0.001    -0.863    -1.000
 0.7415    0.249    -0.010    -0.866    -1.005
 0.7699    0.246    -0.021    -0.869    -1.010
 0.7977    0.243    -0.031    -0.870    -1.016
 0.8249    0.242    -0.042    -0.871    -1.021
 0.8512    0.243    -0.053    -0.870    -1.026
 0.8766    0.246    -0.064    -0.869    -1.031
 0.9007    0.251    -0.074    -0.865    -1.036
 0.9235    0.261    -0.085    -0.860    -1.042
 0.9445    0.274    -0.096    -0.852    -1.047
 0.9635    0.295    -0.107    -0.840    -1.052
 0.9799    0.326    -0.119    -0.821    -1.058
 0.9928    0.375    -0.128    -0.791    -1.062
 1.0000    0.513    -0.149    -0.698    -1.072


